mitteparameetriline statistika,MTMS.01.037
uurimistöö,SOPH.00.477
suu- ja hambahaigused iii,ARST.01.077
bioeetika,ARTH.02.063
õppemetoodiline töö,MTAT.00.028
anatoomia,ARAN.01.039
anatoomia,ARAN.01.038
magistritöö,FLEE.00.028
rahvusvaheline kriminaalõigus,OIAO.07.043
babüloonia keel ja kiri,USUS.00.015
sanktsiooniõigus,OIAO.01.022
patoloogiline füsioloogia,ARMP.03.024
asjaajamine,P2NC.01.071
eesti keele vormiõpetus,P2NC.00.332
traumatoloogia ja ortopeedia,ARTO.01.021
inglise keel,P2NC.00.120
tantsuõpetaja praktika,P2VK.04.625
teadustöö alused,P2NC.01.018
infohaldus,SHUH.04.022
reporteritöö,SHZU.01.014
strateegiline juhtimine tippjuhtidele,MJJV.03.179
mälu neurokognitiivsed mehhanismid,SHPH.00.043
raamatukultuur,SHZU.05.026
mapinfo edasijõudnutele,LOOM.02.036
vöökudumine i,P2VK.01.291
soome kirjandus i,FLEE.06.166
bakalaureusetöö füsioteraapia erialal,KKSB.00.011
kontaktimprovisatsioon i,P2VK.04.028
keemia alused,LOKT.07.010
sissejuhatus riigiteadustesse,SORG.00.003
biofüüsika,ARFS.01.023
bakalaureusetöö,SORG.00.004
innovatsiooni juhtimine,MJJV.07.083
inglise leksikoloogia,FLGR.01.137
üldine ja anorgaaniline keemia,LOKT.00.004
võlaõiguse üldosa,P2OG.01.088
toimetajapraktika,FLEE.02.160
laboratoorne meditsiin,ARSK.03.012
infektsioonhaigused,ARSK.04.001
evolutsioonimehhanismid,LOMR.02.004
turundus,P2VK.05.060
eesti argikultuuri praktika,FLEE.04.181
õiguse filosoofia,P2OG.02.106
matemaatikast psühholoogidele,MTMM.00.002
seminaritöö,SOZU.00.005
põhjavee dünaamika,LOOM.03.076
eesti selgroogsed,LOOM.04.014
norra keeleajalugu,FLGR.06.033
kohtuarstiteadus,ARPA.02.012
laps ja tervis,AROT.00.065
õpetamise praktika,LOTI.05.025
koolieelse lasteasutuse õpetaja pidev praktika,SHHI.02.032
ühiskonnakorraldus,P2NC.01.064
joonestamise meistriklass,P2VK.04.655
raskejõustiku algõpetus,KKSP.05.255
keskkonnaõigus,P2OG.02.168
soololaul,P2VK.04.589
doktoriseminar,FLSE.00.204
biosemiootika,FLSE.00.258
tantsuajalugu ii,P2VK.04.038
signaalitöötluse alused i,LOFY.01.018
kavandamine käsitöös,HVVK.01.090
spektroskoopilised analüüsimeetodid,LOKT.06.017
lastekirurgia,ARKI.02.030
lepinguõigus,OIEO.06.045
suuline kommunikatsioon ii,P2NC.00.814
analüütiline keemia i,LOKT.06.010
bioinformaatika seminar,MTAT.03.242
eesti keele seminar,FLEE.02.009
õiguse üldteooria,OIAO.06.026
magistriseminar,FLSE.00.253
sissejuhatus üldkeeleteadusesse,FLEE.08.001
rahvusvahelise eraõiguse erikursus,OIEO.06.050
etenduse analüüsi praktikum,FLKU.05.144
maailmamajanduse geograafia,LOOM.02.094
kirjanduse seminar,FLKU.05.094
spordipsühholoogia eriseminar i,KKSP.03.041
tõlkeseminar,FLGR.04.540
juhtimine,MJJV.03.136
ilukirjanduse tõlkimise praktikum,FLKU.05.025
robootika,LOTI.05.010
käsitöö ja kunstiõpetus,P2NC.00.818
elekter ja magnetism,LOFY.01.007
kardioloogia i,ARKA.01.003
suhtlemistreening,SOPH.00.292
õppe kavandamine,SHHI.01.027
makroökonoomika,MJRI.10.038
soome keel lingvistidele,FLEE.06.194
pedagoogiline praktikum i,SHHI.01.068
kindlustusõigus,P2OG.01.112
anglistika võtmetekstide seminar,FLGR.01.377
tekstianalüüs,FLGR.03.298
teatriteaduse alused,FLKU.05.244
kaasaegne õigusfilosoofia,OIEO.01.035
projektijuhtimine,LOOM.02.124
etoloogia,LOOM.04.002
haldusõiguse erikursus,OIAO.05.057
tööõiguse eriseminar,P2OG.01.073
tsiviilkohtumenetlus,OIEO.04.119
bioeetika,FLFI.02.038
erihistoloogia,LOMR.09.026
bakalaureuseseminar ja bakalaureusetöö (skandinaavia keeled ja kultuurid),FLGR.06.122
bakalaureuseeksam eripedagoogikas,SHHI.03.003
meditsiiniline mikrobioloogia,ARMB.01.004
matemaatika ja matemaatika didaktika,HTHT.02.008
äge kõht,ARKI.01.011
uurimistöö (avalik õigus) i,OIAO.06.047
spordibiokeemia,KKSB.02.034
ettevõtja praktiliste oskuste baaskursus i,MJCV.00.003
neuroloogia,ARNR.01.024
lavalise liikumise ja lavakõne alused i,FLKU.05.163
süsteemide modelleerimine,MTAT.03.083
j. v. uexkülli ja j. lotmani lugemised,FLSE.00.251
traditsioonilised ja kaasaegsed kultuurid,FLEE.04.115
mentorite väljaõpe,P2OO.00.008
programmeerimine c-keeles ja assembleris,MTAT.03.219
käsitöö ja kodunduse didaktika,HVVK.01.089
prantsuse keele õpetaja põhipraktika,FLGR.03.289
programmeerimise alused,MTAT.03.236
koomiks,HVVK.14.055
bakalaureuseseminar ja praktika,FLGR.05.301
doktoriseminar heitmete tehnoloogias,LOKT.04.069
praktiline koosluste ökoloogia,LTOM.01.001
üld- ja abdominaalkirurgia,ARKI.02.031
analüütiline keemia i,MVFA.00.002
äristrateegiad,SVMJ.03.011
sissejuhatus suulisse tõlkesse,HVLC.07.013
euroopa keelte ja kultuuride magistriseminar,HVLC.00.007
lavastajatöö erialapraktika,P2VK.04.605
induktiivse riski filosoofia,FLFI.03.104
segakoor 2018/2019,HVVK.12.023
itaalia ühiskond ja kultuur (inglise keele baasil),HVLC.03.024
kohaliku omavalitsuse majandus,SVMJ.08.002
diferentsiaalvõrrandid,MTMM.00.214
tänapäeva vene kirjandus,FLGR.05.252
organisatsioonikäitumine,MJJV.03.084
saksa kontrastiivne lingvistika,FLGR.04.733
hispaania keele suuline ja kirjalik väljendusoskus,FLGR.03.128
erialane inglise keel (b 1 keeletase),HTHT.02.001
kõrgema matemaatika rakendused sotsiaalteadustes,MJRI.09.007
teadusteksti kirjutamine inglise keeles,FLKE.01.267
teatriteaduse seminar,FLKU.05.149
ajakirjandus ja televisioon eesti keele tunnis,P2NC.00.867
biomehaanika alused ja biomaterjalid,LTFY.01.019
suhtlemis- ja koostööoskused,SVUH.00.058
eesti keele ja kirjanduse didaktika alused,FLEE.02.155
vene folkloor ja postfolkloor,FLGR.05.397
objektorienteeritud programmeerimine,LTAT.03.003
ühiskonnaõpetuse korraldus koolis,FLAJ.03.141
soome keele grammatika i,FLEE.06.183
rahvaluule õpetamise võimalusi koolis,FLKU.04.070
programmeerimise alused ii,MTAT.03.256
"eesti keel arstiteaduse tudengitele v, tase b1.2 > b2.1",HVLC.09.005
mikrobioloogia ja viroloogia praktikum,LTMR.03.003
inglise keele korpused ja nende uurimine,FLGR.01.378
tuutorite väljaõpe,P2OO.00.007
kõrgem matemaatika (jätk),LTMS.00.006
tasakaalulised protsessid keskkonnas,LOKT.04.068
kaasaegsed uurimismeetodid neurobioloogias i,ARFS.01.036
analüütilise keemia praktikum i,LOKT.06.028
visuaalprogrammeerimine,P2NC.01.084
ettevõtlus,SVMJ.02.013
paleontoloogia,LOOM.03.122
biokeemia alused ii,LTKT.10.002
kliiniline mikrobioloogia,ARMB.01.053
uurimistöö seminar ii,MVFA.00.012
tootekujunduse alused,HVVK.01.007
silmuskudumine i,P2VK.01.283
poliitiline areng ida- ja kagu-aasias,SVJS.00.002
lugemisseminar,HVEE.01.010
farmaatsia teadusseminarid iii,ARFA.02.148
teadustöö,LOLO.00.084
akadeemiline enesejuhtimine,SVPC.00.004
taimefüsioloogia,LTMR.07.001
keeleoskus ja selle määratlemine,HVEE.05.018
hackathon'idel osalemine,MTAT.03.324
magistritöö,HVKU.04.013
keemiliste andmete analüüs,LTKT.06.002
psühhiaatria,ARPS.01.050
lepinguõigus,P2OG.01.089
endokrinoloogia,ARSK.01.030
motoorika juhtimine,KKSB.03.013
üldkirurgia,ARKI.01.010
lahused,LOKT.01.017
korduvate mõõtmiste analüüs,MTMS.01.046
praktilise õigusabi osutamine i,OIAO.02.037
üldine teatriajalugu i. antiigist romantismini,FLKU.05.150
teadusartikli publitseerimine sotsiaalteadustes,SHUH.00.002
sissejuhatus majandusteooriasse,MJRI.09.027
filosoofilised lahkarvamused,HVFI.01.003
akadeemiline väljendusoskus,HVLC.10.009
võõrkeelte õpetamise pidev praktika,FLGR.00.063
multimeedia ja kunsti semiootiline analüüs,FLSE.00.273
"erialane vene keel stomatoloogia tudengitele (100% e-õpe), tase a2.1 > a2.2",HVLC.05.010
ettevõtluse alused i,MJJV.11.001
bakalaureuseseminar,MJ00.00.024
eesti keele ja kirjanduse õpetaja põhipraktika,FLEE.02.169
teadusloo religioossetest aspektidest,USUS.02.076
patoloogiline füsioloogia,ARMP.03.015
epidemioloogia ja biostatistika,ARTH.03.006
kriminaalmenetlus,OIAO.03.027
bordeaux' seminarid 2,HVLC.04.035
sissejuhatus filmikunsti,HVVK.04.019
taimede stress,LTOM.01.004
zooplanktoni ökoloogia,LTOM.04.006
ballett iii,P2VK.04.370
farmakognoosia ii,ARFA.01.105
praktika teenindusettevõttes,SVPC.02.001
meditsiiniõigus,MVPT.04.002
rahvakunsti alused,HVVK.01.052
elektroonika,LOTI.05.065
praktiline harmoniseerimine klaveril ii,P2VK.02.045
geneetika,LTMR.03.001
euroopa eraõiguse arengud,OIEO.04.111
arvutiteaduse matemaatilised alused,MTAT.05.008
soome keele oskuse hindamine,FLEE.06.177
vene kultuuri retseptsioon kinolinal,FLGR.05.401
inglise keele didaktika ii,FLGR.01.381
üldine neurokeemia,LOKT.10.007
aegridade analüüs,MTMS.01.023
populatsioonigeneetika matemaatilised alused,MTMS.02.007
menetluspraktika informaatikas,MTAT.03.237
koolirobootika i,MTAT.03.298
eesti keele struktuur,FLEE.02.122
programmeerimine,LTAT.03.001
kahe aine õpetaja põhipraktika,SVHI.01.020
"eesti keel arstiteaduse tudengitele iii, tase a2.1 > b1.1",HVLC.09.003
bakalaureusetöö saksa keelest või kirjandusest,FLGR.04.698
kõrgem matemaatika,LTMS.00.002
kõrgem matemaatika i,MTMM.00.340
kõrgem matemaatika,LTMS.00.003
saksa kultuur ja interkultuurilisus,FLGR.04.732
inglise keelt kõnelevate maade ajalugu,FLGR.01.138
kliiniline farmaatsia,MVFA.00.016
põhipill iii,P2VK.02.670
inimese füsioloogia,ARFS.01.032
orgaaniline keemia i,LOKT.09.004
praktika turismiorganisatsioonis,SVPC.02.002
arenguseminar,FLFI.00.108
disaini alused,HVVK.01.097
tarkvaraprojekt,LTAT.05.005
perekond ja kasvatustegevused,SVHI.01.047
euroopa liidu kriminaalõigus,OIAO.01.051
ettevõtlusprojekt,LTOM.02.029
kunstiõpetuse didaktika,HVVK.14.061
uroloogia,ARKI.02.029
haldusõigus,P2OG.02.154
praktilise õigusabi osutamine iii,OIAO.02.036
arvutigraafika,MTAT.03.015
pinnaste remediatsiooni tehnoloogia,LOKT.04.038
roheline tehnoloogia,LOKT.04.036
pidev pedagoogiline praktika,SHHI.01.031
stomatoloogia propedeutika (õpetus hambaravimaterjalidest),ARST.01.047
eesti teatri ajalugu,FLKU.05.148
rahvusvahelise õiguse ajalugu ja teooria,OIAO.07.064
analüütilise keemia praktikum i,LOKT.06.012
materjalide keemia iii,LOKT.02.044
"õppimine, õpetamine ja juhendamine",SVHI.01.070
"hea teadus: raamnõuded, väärtused ja tegevuspõhimõtted",HVFI.01.002
prantsuse kontrastiivne lingvistika,FLGR.03.297
inglise keele õpetaja lisaeriala põhipraktika,HVLC.01.004
inglise keele õpetaja peaeriala põhipraktika,HVLC.01.005
uurimistöö planeerimine,ARFA.02.040
grammatika- ja stiilivigade parandamine ja analüüs,P2NC.00.869
akadeemiline väljendusoskus inglise keeles i,FLGR.01.379
prantsuse keele akadeemiline väljendusoskus,FLGR.03.141
ettevõtluse alused,MJCV.00.014
antiikkirjanduse lühivormid,FLGR.02.538
ladina keele morfoloogia ja süntaks,FLGR.02.539
kommunikatsioon ja võim,FLSE.00.276
eestikeelne kommunikatsioon arvutiteaduses,MTAT.06.054
kolme aine õpetaja põhipraktika,SVHI.01.021
informaatika koolis,MTAT.03.312
eesti ajaloo historiograafia,FLAJ.03.009
funktsionaalne ja loogiline programmeerimine,P2NC.01.088
erikursus eesti keele didaktikast,FLEE.02.166
bakalaureusetöö seminar,P2NC.01.027
eesti keele võõrkeelena grammatika erikursus,FLEE.04.220
pedagoogiline praktikum ii,FLFL.00.014
doktoritöö,LOMR.00.074
gastroenteroloogia,ARSK.01.034
matemaatiline füüsika,LTFY.04.002
tehnoloogiaõpetuse didaktika,HVVK.01.050
rakendusprogrammeerimine geoinformaatikas,LOOM.02.037
filosoofiakonverents i,FLFI.00.110
meeskonnatöö praktika,HVLC.00.004
fatsiaalne analüüs,LOOM.03.002
neuroturundus,SVMJ.09.003
kirivöö kudumine,HVVK.14.007
aatomspektroskoopia,LOKT.06.047
lapse sotsiaalne areng,SOPH.00.332
tõenäosusteooria ii,MTMS.02.004
katseplaneerimise teooria,MTMS.01.010
keeleõppe teooriad ja meetodid,FLGR.01.088
prantsuse kirjanduse seminar,FLGR.03.294
anorgaaniline keemia ii,LOKT.01.013
kirjandus ja müüt,FLKU.05.239
ameerika kirjanduse ja kultuuri teemaseminar,FLGR.01.194
mikrobioloogia i,LOMR.03.016
inglise keele variandid,FLGR.01.180
tõlkesemiootika,FLSE.00.274
programmeerimine,SVNC.00.054
rahvusvahelised suhted,SORG.00.070
inglise keele õpetaja põhipraktika,FLGR.01.364
probleemipõhine filosoofia,FLFI.00.103
inglise kirjanduse seminar,FLGR.01.187
suhtlemine ja tagasiside haridusorganisatsioonis,SHHI.01.030
tekstiilitehnoloogia,HVVK.01.053
atmosfäärifüüsika,LOFY.05.002
eksperimentaalmeetodid materjalifüüsikas,LOFY.02.027
psühholoogia,SOPH.00.057
ravimpreparaatide toimekestvuse modifitseerimine,ARFA.02.036
arvutisimulatsioonide seminar,LOTI.05.076
audiovisuaalse produktsiooni praktikum,SVUH.01.004
"helirežii, helikujundus",P2VK.04.299
lepinguõigus,P2PC.00.397
käsitöö didaktika,HVVK.01.003
praktiline eesti ja vene keele kõrvutav grammatika,HVEE.05.017
toitumise alused ja tarbijakasvatus,HVVK.01.091
algoritmika,MTAT.03.238
projektitöö i,P2VK.05.324
alushariduse praktika sobitus- või erirühma lastega,HTEP.02.109
esteetika,FLFI.00.023
magistritöö (maalikunst),FLKU.01.142
soome maa ja ajalugu,FLEE.06.008
arvutikäsitusõpetus,MTAT.03.010
prantsuse teater,FLGR.03.295
keskkonna mikrobioloogia,LOOM.02.279
keemia põhimõisted,LOKT.01.008
keskkonna- ja töötervishoid,ARTH.01.045
subkultuuride semiootiline analüüs,FLSE.00.277
kriminaalmenetlus,P2OG.02.155
hispaania kirjanduse seminar,HVLC.03.019
semiootika ajalugu: põhimõisted ja -tekstid,FLSE.00.249
ajaloo ja ühiskonnaõpetuse didaktika,FLAJ.03.140
ajaloo ja ühiskonnaõpetuse põhipraktika,FLAJ.03.191
informaatika didaktika ii,MTAT.03.301
"eesti keel arstiteaduse tudengitele i, tase 0 > a1.2",HVLC.09.001
projektõpe kunstide ja tehnoloogia ainetes,HVVK.01.049
hariduslikud programmeerimiskeeled,MTAT.03.299
vene kirjanduse didaktika,FLGR.05.428
fotograafia,HVVK.14.020
seminar vene keele grammatikast,HVLC.05.051
bioorgaaniline keemia,ARBK.01.042
mikrobioloogia,LTMR.03.002
meditsiiniline keemia,LOKT.00.009
vana ja uue testamendi seminar,USUS.05.069
rahandus,MJJV.10.002
orgaaniline keemia iii,LOKT.09.006
inimese käitumise psühholoogia,SVPH.00.016
õpikojapraktika,HVVK.01.024
"saksa keel algtasemele iii, tase a1.2 > a2.1",HVLC.04.009
"erialane inglise keel. õiguskeel ii, tase b2.1 >b2.2",HVLC.01.018
arvutuskeemia,LTKT.08.003
biokeemia praktikum,LTMR.08.001
doktoriseminar iv,MV00.00.013
pro tools,HVVK.02.006
ballett,HVVK.04.022
sissejuhatus multimeediasse,P2VK.04.646
reporteritöö,SVUH.00.035
pärimusmuusika ansambel,HVVK.02.018
mudeldusmängu metoodika,P2VK.05.240
põhipill iii,P2VK.02.370
iseseisva lugemisoskuse arendamine lähilugemise kaudu (inglise keel),HTOS.02.262
eripedagoogika alused,HTEP.01.057
proseminar antiikkultuurist: sissejuhatus erialasse,FLGR.02.133
epidemioloogia,ARTH.03.014
õigussüsteemide võrdlev ajalugu,P2OG.01.084
informaatika didaktika i,MTAT.03.300
teatriteaduse aktuaalseid probleeme,FLKU.05.164
heitmekäitlusprotsesside modelleerimine,LOKT.04.037
kultuurisemiootika ja kultuuriteooriad,FLSE.00.254
semiootilise analüüsi metodoloogia,FLSE.00.252
programmeerimiskeeled,MTAT.03.006
protsessid mikroheterogeensetes süsteemides,LOKT.04.063
vee tehnoloogia ja jäätmemajanduse praktika,LOKT.04.061
kondensaine teooria i: struktuurid ja elektronomadused,LOFY.04.012
eesti keele võõrkeelena didaktika ii,FLEE.04.236
ladina keel teoloogia bakalaureuseõppele,HVLC.02.006
prantsuse keele didaktika ii,FLLC.03.004
tõenäosuse ja statistika algkursus,MTMS.01.049
toiduainete mikrobioloogia,LOMR.03.006
kultuuridevaheline suhtlemine,P2NC.00.252
eesti keele võõrkeelena õpetaja lisaeriala põhipraktika,HVEE.02.001
kirjanduse didaktika,FLKU.05.208
bakalaureuseseminar,FLSE.00.280
vene kirjanduse poeetika probleeme,HVLC.05.052
prantsuse keele õpetaja peaeriala põhipraktika,HVLC.03.003
lõngatööde metoodika,HTHT.02.022
eneseväljendus ja improvisatsioon,P2VK.05.358
kunstiteose analüüs,HVVK.14.005
inimese füsioloogia,ARFS.01.030
doktoriseminar,LOKT.00.011
laul ja hääleseade iv,P2VK.02.764
orgaaniline keemia ii,LOKT.09.005
ülegenoomsed tehnoloogiad molekulaarbioloogias,LOMR.01.006
muusikateooria iv,P2VK.02.649
"india põliskultuurid: folkloor, rituaal, usund",HVKU.04.014
spektroskoopia,LTFY.01.014
andmebaaside alused,MTAT.03.320
turismi inglise keel,P2PC.03.057
parasitoloogia,LOOM.04.019
geriaatrilise füsioteraapia praktika,KKSB.05.043
erialaseminar,FLGR.03.160
finantstuletisinstrumendid,SVMJ.06.006
strateegiline juhtimine,MJJV.08.048
maateaduste alused i,LOOM.03.063
sissejuhatus võrdlevasse kirjandusteadusesse,FLKU.05.053
maailma kiviaeg,FLAJ.01.121
geodünaamika ja tahke maa füüsika alused,LOOM.03.086
tekstoloogia,FLKU.05.099
teadustöö metoodika ii,OIEO.01.022
uurimus (majandusteadus),MJ00.00.012
filmikeel ja filmiteooriad,FLKU.05.059
eesti keskaeg,FLAJ.03.171
ungari maatundmine ja ajalugu,FLEE.07.148
funktsionaalne morfoloogia,KKSB.01.001
esmaabi,ARAI.01.039
ehitusmehaanika i,P2VK.01.103
sisehaigused,MV00.00.015
erakorralise meditsiini praktika,MV00.00.006
psühholoogia bakalaureuseeksam,SOPH.00.520
doktoritöö,AR00.00.083
treeninguõpetuse alused,KKSP.04.013
teatripraktika,FLKU.05.259
19. sajandi kirjanduse seminar,FLKU.05.240
tekstianalüüs 1,FLGR.01.034
neuropsühhofarmakoloogia teadusseminar i,SOPH.00.246
sissejuhatus meediasemiootikasse,FLSE.00.235
viipekeele teoreetilised alused,HTEP.01.038
prantsuse keele teooria iii,FLGR.03.154
kaasaegne eesti keel,HTOS.02.503
dogmaatika magistriseminar,USUS.02.066
lepinguõigus,OIEO.04.098
erialane praktika,MTAT.03.318
finantsteenuste õigus,OIEO.06.078
